clean_name,season,position,games,fantasy_points_ppr,targets,carries,receiving_yards,rushing_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,recent_team,player_name,player_key,avg_fantasy_points_3yr,avg_targets_3yr,avg_carries_3yr,performance_trend_pct,consistency_score,seasons_played,total_games,avg_opportunity,total_touches,yards_per_touch,passing_efficiency,catch_rate,yards_per_target,points_per_game,opportunity_share
BLAKE WATSON,2024,RB,1,3.3,2,4,13.0,10.0,1,0,0,0.0,0,0.0,DEN,Blake Watson,BLAKE WATSON_RB,3.299999952316284,2.0,4.0,0.0,0.0,1,1,6.0,6.0,3.8333332538604736,0.0,0.0,0.0,3.299999952316284,6
BLAKE WHITEHEART,2024,TE,7,17.1,9,0,51.0,0.0,6,1,0,0.0,0,0.0,CLE,Blake Whiteheart,BLAKE WHITEHEART_TE,17.100000381469727,9.0,0.0,0.0,0.0,1,7,9.0,0.0,0.0,0.0,0.6666666666666666,5.666666666666667,2.442857197352818,9
BO MELTON,2024,WR,12,25.1,20,8,107.0,54.0,9,0,0,0.0,0,0.0,GB,Bo Melton,BO MELTON_WR,40.79999923706055,23.5,5.5,-55.57522201538086,1.8375768661499023,2,18,29.0,0.0,0.0,0.0,0.45,5.35,2.0916666984558105,28
BO NIX,2024,QB,18,331.26,1,96,2.0,473.0,1,1,4,3919.0,30,12.0,DEN,Bo Nix,BO NIX_QB,331.260009765625,1.0,96.0,0.0,0.0,1,18,97.0,0.0,0.0,7.655014034192396,0.0,0.0,18.403333875868057,97
BOSTON SCOTT,2023,RB,10,17.8,6,20,52.0,86.0,4,0,0,0.0,0,0.0,PHI,Boston Scott,BOSTON SCOTT_RB,42.0,6.5,44.5,-73.11178588867188,1.2272101640701294,2,26,51.0,26.0,5.307692527770996,0.0,0.0,0.0,1.7799999237060546,26
BRAELON ALLEN,2024,RB,17,85.200005,27,92,148.0,334.0,19,1,2,0.0,0,0.0,NYJ,Braelon Allen,BRAELON ALLEN_RB,85.20000457763672,27.0,92.0,0.0,0.0,1,17,119.0,119.0,4.05042028427124,0.0,0.0,0.0,5.011764975155101,119
BRANDIN COOKS,2024,WR,10,69.6,54,3,259.0,-3.0,26,3,0,0.0,0,0.0,DAL,Brandin Cooks,BRANDIN COOKS_WR,133.23333740234375,78.66666666666667,3.6666666666666665,-62.276424407958984,2.279841184616089,3,40,82.33333333333334,0.0,0.0,0.0,0.48148148148148145,4.796296296296297,6.959999847412109,57
BRANDON AIYUK,2024,WR,7,62.4,47,0,374.0,0.0,25,0,0,0.0,0,0.0,SF,Brandon Aiyuk,BRANDON AIYUK_WR,195.40000915527344,98.66666666666667,0.6666666666666666,-77.64242553710938,1.6778504848480225,3,46,99.33333333333334,0.0,0.0,0.0,0.5319148936170213,7.957446808510638,8.914285932268415,47
BRANDON ALLEN,2024,QB,3,6.3599997,0,3,0.0,4.0,0,0,0,199.0,1,2.0,SF,Brandon Allen,BRANDON ALLEN_QB,3.5699996948242188,0.0,3.0,715.3846435546875,0.9047925472259521,2,4,3.0,0.0,0.0,5.025125628140704,0.0,0.0,2.119999885559082,3
BRANDON BOLDEN,2023,RB,3,11.1,0,4,0.0,31.0,0,0,1,0.0,0,0.0,LV,Brandon Bolden,BRANDON BOLDEN_RB,19.200000762939453,4.5,10.5,-59.34065628051758,1.67610502243042,2,11,15.0,4.0,7.75,0.0,0.0,0.0,3.7000001271565757,4
